timedate,temp,hum
2025-06-14 11:16:35,24.31,53.89
2025-06-14 12:16:06,23.79,55.31
2025-06-14 13:15:48,26.80,51.95
2025-06-14 14:15:26,25.92,53.14
2025-06-14 15:15:05,27.39,54.95
2025-06-14 16:14:39,25.91,56.23
2025-06-14 17:14:14,25.56,57.26
2025-06-14 18:13:50,28.39,51.98
2025-06-14 19:13:29,28.45,52.60
2025-06-14 20:13:04,27.63,54.80
2025-06-14 21:12:38,26.12,58.55
2025-06-14 22:12:11,25.20,59.49
2025-06-14 23:11:48,26.02,80.26
2025-06-15 00:11:23,24.58,64.81
2025-06-15 01:10:57,24.02,62.92
2025-06-15 02:10:32,23.62,62.33
2025-06-15 03:10:08,23.13,61.14
2025-06-15 04:09:43,22.68,61.40
2025-06-15 05:09:17,22.27,60.67
2025-06-15 06:08:51,22.01,61.28
2025-06-15 07:08:24,22.04,62.73
2025-06-15 08:08:01,22.37,65.58
2025-06-15 09:07:39,22.61,68.72
2025-06-15 10:07:17,23.76,73.98
2025-06-15 11:06:55,24.93,68.40
2025-06-15 12:06:32,24.65,68.22
2025-06-15 13:06:08,24.38,67.41
2025-06-15 14:05:45,24.24,69.92
2025-06-15 15:05:24,26.37,70.75
2025-06-15 16:05:03,26.49,65.08
2025-06-15 17:04:40,26.50,67.03
2025-06-15 18:04:14,25.16,65.80
2025-06-15 19:03:47,24.82,66.13
2025-06-15 20:03:22,24.57,66.83
2025-06-15 21:02:58,24.79,68.79
2025-06-15 22:02:32,24.61,68.92
2025-06-15 23:02:07,24.47,69.47
2025-06-16 00:01:42,24.37,69.51
2025-06-16 01:01:17,24.19,68.44
2025-06-16 02:00:53,24.06,67.84
2025-06-16 03:00:29,23.96,67.38
2025-06-16 04:00:04,23.82,67.31
2025-06-16 04:59:40,23.71,67.21
2025-06-16 05:59:15,23.59,67.47
2025-06-16 06:58:49,23.53,67.41
2025-06-16 07:58:25,23.50,66.95
2025-06-16 08:58:00,22.85,63.74
2025-06-16 09:57:35,22.86,64.36
2025-06-16 10:57:08,23.24,62.85
2025-06-16 11:56:45,23.37,65.91
2025-06-16 12:56:21,23.83,59.33
2025-06-16 13:55:56,24.72,51.88
2025-06-16 14:55:32,23.92,53.48
2025-06-16 15:55:07,24.17,52.84
2025-06-16 16:54:42,24.08,51.99
2025-06-16 17:54:19,23.68,53.63
2025-06-16 18:53:54,23.45,53.09
2025-06-16 19:53:29,23.13,53.79
2025-06-16 20:53:03,22.63,54.59
2025-06-16 21:52:38,21.94,54.80
2025-06-16 22:52:13,21.94,54.95
2025-06-16 23:51:48,21.80,54.14
2025-06-17 00:51:22,21.97,56.34
2025-06-17 01:50:57,22.04,60.26
2025-06-17 02:50:33,22.00,60.29
2025-06-17 03:50:10,21.96,60.54
2025-06-17 04:49:44,21.89,60.81
2025-06-17 05:49:21,21.88,60.91
2025-06-17 06:48:57,21.86,61.91
2025-06-17 07:48:32,21.69,59.34
2025-06-17 08:48:06,21.46,59.29
2025-06-17 09:47:41,21.89,59.80
2025-06-17 10:47:18,23.13,56.38
2025-06-17 11:46:55,22.69,59.92
2025-06-17 12:46:35,24.85,53.47
2025-06-17 13:46:09,25.43,48.55
2025-06-17 14:45:48,26.15,45.74
2025-06-17 15:45:25,26.60,45.21
2025-06-17 16:45:02,26.32,44.57
2025-06-17 17:44:38,25.86,44.22
2025-06-17 18:44:12,25.16,45.32
2025-06-17 19:43:46,24.60,47.52
2025-06-17 20:43:21,23.98,52.00
2025-06-17 21:42:55,23.47,52.98
2025-06-17 22:42:29,23.11,53.46
2025-06-17 23:42:06,22.80,53.65
2025-06-18 00:41:40,22.44,53.86
2025-06-18 01:41:14,22.08,53.61
2025-06-18 02:40:50,21.86,54.27
2025-06-18 03:40:25,21.48,53.48
2025-06-18 04:39:59,21.20,53.10
2025-06-18 05:39:34,20.84,52.54
2025-06-18 06:39:10,21.00,53.76
2025-06-18 07:38:45,20.96,56.82
2025-06-18 08:38:21,21.28,57.31
2025-06-18 09:37:56,21.78,58.09
2025-06-18 10:37:34,22.92,52.95
2025-06-18 11:37:12,24.30,49.80
2025-06-18 12:36:53,25.91,48.11
2025-06-18 13:36:33,26.53,46.98
2025-06-18 14:36:12,27.49,42.01
2025-06-18 15:35:45,24.46,52.09
2025-06-18 16:35:21,25.60,50.10
2025-06-18 17:35:03,26.58,46.90
2025-06-18 18:34:39,26.15,47.46
2025-06-18 19:34:14,24.74,52.83
2025-06-18 20:33:48,24.60,52.03
2025-06-18 21:33:22,24.03,53.08
2025-06-18 22:32:58,23.53,52.52
2025-06-18 23:32:32,22.96,53.15
2025-06-19 00:32:06,22.38,52.81
2025-06-19 01:31:40,21.94,53.40
2025-06-19 02:31:14,21.49,53.49
2025-06-19 03:30:49,21.03,53.50
2025-06-19 04:30:23,20.65,53.95
2025-06-19 05:29:57,20.28,53.97
2025-06-19 06:29:32,20.15,55.34
2025-06-19 07:29:09,20.63,57.49
2025-06-19 08:28:43,21.00,60.48
2025-06-19 09:28:21,21.94,57.78
2025-06-19 10:27:58,23.30,54.77
2025-06-19 11:27:38,24.78,51.04
2025-06-19 12:27:18,26.28,48.15
2025-06-19 13:26:58,27.01,46.82
2025-06-19 14:26:36,27.74,46.12
2025-06-19 15:26:15,28.09,45.81
2025-06-19 16:25:52,27.88,45.38
2025-06-19 17:25:27,26.99,46.70
2025-06-19 18:25:00,26.87,47.62
2025-06-19 19:24:35,25.56,53.01
2025-06-19 20:24:11,25.12,51.10
2025-06-19 21:23:46,24.65,53.92
2025-06-19 22:23:21,24.05,53.23
2025-06-19 23:22:55,23.48,51.39
2025-06-20 00:22:29,23.09,50.43
2025-06-20 01:22:04,22.54,50.19
2025-06-20 02:21:38,22.06,49.33
2025-06-20 03:21:11,21.56,48.93
2025-06-20 04:20:46,21.12,49.33
2025-06-20 05:20:20,21.49,50.19
2025-06-20 06:19:57,21.59,51.88
2025-06-20 07:19:34,21.52,52.16
2025-06-20 08:19:08,21.31,52.50
2025-06-20 09:18:45,21.63,53.03
2025-06-20 10:18:21,22.17,51.01
2025-06-20 11:18:59,23.04,49.24
2025-06-20 12:18:34,22.51,52.36
2025-06-20 13:18:15,25.26,45.08
2025-06-20 14:17:53,27.43,41.63
2025-06-20 15:17:34,27.13,35.90
2025-06-20 16:17:09,27.51,33.20
2025-06-20 17:16:47,27.15,33.30
2025-06-20 18:16:21,26.43,34.30
2025-06-20 19:15:57,25.89,33.74
2025-06-20 20:15:31,24.63,38.25
2025-06-20 21:15:05,23.79,42.18
2025-06-20 22:14:39,23.11,42.04
2025-06-20 23:14:13,22.66,42.32
2025-06-21 00:13:48,22.43,44.15
2025-06-21 01:13:22,22.13,43.75
2025-06-21 02:12:57,21.88,42.93
2025-06-21 03:12:32,22.20,45.72
2025-06-21 04:12:08,22.20,46.81
2025-06-21 05:11:44,22.13,47.32
2025-06-21 06:11:19,21.52,45.23
2025-06-21 07:10:52,21.61,45.73
2025-06-21 08:10:28,21.78,57.49
2025-06-21 09:10:04,21.70,51.45
2025-06-21 10:09:40,22.30,47.71
2025-06-21 11:09:16,24.08,45.03
2025-06-21 12:08:58,25.96,38.31
2025-06-21 13:08:39,27.26,36.18
2025-06-21 14:08:17,27.47,34.37
2025-06-21 15:07:54,27.56,34.26
2025-06-21 16:07:31,26.25,73.20
2025-06-21 17:07:09,27.91,35.13
2025-06-21 18:06:44,27.54,34.80
2025-06-21 19:06:18,26.23,38.34
2025-06-21 20:05:52,25.74,33.59
2025-06-21 21:05:28,24.69,40.55
2025-06-21 22:05:02,23.95,42.14
2025-06-21 23:04:37,23.99,42.87
2025-06-22 00:04:12,22.72,43.96
2025-06-22 01:03:46,22.75,43.70
2025-06-22 02:03:19,22.08,43.51
2025-06-22 03:02:53,21.56,43.14
2025-06-22 04:02:27,21.03,43.28
2025-06-22 05:02:01,20.41,43.88
2025-06-22 06:01:35,19.73,44.51
2025-06-22 07:01:10,20.03,46.85
2025-06-22 08:00:45,20.68,49.41
2025-06-22 09:00:21,20.97,48.57
2025-06-22 10:00:59,22.44,42.08
2025-06-22 11:00:37,24.13,38.68
2025-06-22 12:00:20,25.99,36.71
2025-06-22 13:00:01,27.57,33.83
2025-06-22 13:59:35,25.44,40.13
2025-06-22 14:59:14,29.15,34.60
2025-06-22 15:58:58,30.11,35.72
2025-06-22 16:58:31,28.16,40.82
2025-06-22 17:58:04,27.71,42.00
2025-06-22 18:57:37,28.21,39.70
2025-06-22 19:57:13,25.70,45.05
2025-06-22 20:56:45,25.70,46.51
2025-06-22 21:56:19,24.89,47.30
2025-06-22 22:55:55,25.29,69.75
2025-06-22 23:55:32,24.72,54.57
2025-06-23 00:55:07,24.47,54.29
2025-06-23 01:54:42,24.28,53.70
2025-06-23 02:54:17,24.17,53.43
2025-06-23 03:53:53,24.03,53.21
2025-06-23 04:53:27,23.98,53.23
2025-06-23 05:53:03,23.82,53.56
2025-06-23 06:52:39,23.68,58.08
2025-06-23 07:52:14,23.76,56.92
2025-06-23 08:51:50,23.79,58.44
2025-06-23 09:51:27,24.14,59.47
2025-06-23 10:51:05,24.72,59.87
2025-06-23 11:50:43,25.77,59.07
2025-06-23 12:50:21,26.02,54.40
2025-06-23 13:49:57,25.89,49.19
2025-06-23 14:49:34,26.35,45.64
2025-06-23 15:49:15,29.03,47.78
2025-06-23 16:48:54,27.61,41.61
2025-06-23 17:48:23,25.99,46.09
2025-06-23 18:47:57,25.51,49.76
2025-06-23 19:47:32,25.31,50.57
2025-06-23 20:47:07,25.01,50.69
2025-06-23 21:46:41,24.48,48.89
2025-06-23 22:46:17,24.20,48.71
2025-06-23 23:45:51,24.10,50.87
2025-06-24 00:45:26,23.93,50.60
2025-06-24 01:45:02,23.72,50.65
2025-06-24 02:44:38,23.53,50.77
2025-06-24 03:44:13,23.31,51.08
2025-06-24 04:43:49,23.07,51.34
2025-06-24 05:43:23,22.75,51.49
2025-06-24 06:42:58,22.16,52.96
2025-06-24 07:42:33,22.30,53.52
2025-06-24 08:42:09,22.27,52.62
2025-06-24 09:41:44,22.16,51.75
2025-06-24 10:41:21,22.56,50.52
2025-06-24 11:40:56,23.31,47.68
2025-06-24 12:40:33,24.54,42.87
2025-06-24 13:40:14,25.26,37.66
2025-06-24 14:39:50,26.23,40.09
2025-06-24 15:39:26,25.58,44.15
2025-06-24 16:39:03,26.13,39.36
2025-06-24 17:38:39,25.94,39.36
